Sample_Index,Feature_Type,Scaling_Factor,Baseline_LogProb_Token1,Baseline_LogProb_Token2,Baseline_Logit_Diff,Steered_LogProb_Token1,Steered_LogProb_Token2,Steered_Logit_Diff,Delta_LogProb_Token1,Delta_LogProb_Token2,Delta_Logit_Diff
6,sae_recons,-20.0,-2.674511,-0.099594064,-2.5749168,-2.7277515,-0.09585451,-2.631897,-0.053240538,0.0037395507,-0.056980133
7,sae_recons,-20.0,-0.88043433,-0.5750697,-0.3053646,-0.89446986,-0.564304,-0.33016586,-0.014035523,0.010765731,-0.024801254
8,sae_recons,-20.0,-0.48760802,-0.99776846,0.51016045,-0.48310086,-1.0036373,0.5205364,0.004507154,-0.005868852,0.010375977
9,sae_recons,-20.0,-0.82223046,-0.6200458,-0.20218468,-0.8327341,-0.6111784,-0.22155571,-0.01050365,0.008867383,-0.019371033
10,sae_recons,-20.0,-0.76920485,-0.66309524,-0.10610962,-0.7792163,-0.653625,-0.12559128,-0.010011435,0.009470224,-0.019481659
11,sae_recons,-20.0,-0.73705035,-0.6934293,-0.043621063,-0.74388874,-0.6862105,-0.057678223,-0.0068383813,0.007218778,-0.014057159
12,sae_recons,-20.0,-1.9355003,-0.18819721,-1.747303,-1.9708636,-0.18216155,-1.788702,-0.035363317,0.0060356557,-0.041399002
13,sae_recons,-20.0,-0.7711107,-0.6637785,-0.10733223,-0.78253144,-0.65312165,-0.12940979,-0.011420727,0.010656834,-0.02207756
14,sae_recons,-20.0,-0.73460865,-0.69889736,-0.03571129,-0.74371916,-0.6894513,-0.054267883,-0.00911051,0.0094460845,-0.018556595
15,sae_recons,-20.0,-2.2698362,-0.14093187,-2.1289043,-2.3132534,-0.13606271,-2.1771908,-0.043417215,0.004869163,-0.048286438
0,sae_recons,-10.0,-1.5672863,-0.27245402,-1.2948322,-1.5771877,-0.26972684,-1.3074608,-0.009901404,0.0027271807,-0.012628555
1,sae_recons,-10.0,-0.8046344,-0.6347926,-0.16984177,-0.80970776,-0.6301633,-0.17954445,-0.0050733685,0.004629314,-0.0097026825
2,sae_recons,-10.0,-0.6301875,-0.8032508,0.17306328,-0.6288359,-0.8039534,0.1751175,0.0013515949,-0.00070261955,0.0020542145
3,sae_recons,-10.0,-0.7002847,-0.72708297,0.026798248,-0.7006505,-0.7263234,0.025672913,-0.0003657937,0.000759542,-0.0011253357
4,sae_recons,-10.0,-0.7782896,-0.65340406,-0.12488556,-0.7821055,-0.6497565,-0.13234901,-0.0038158894,0.0036475658,-0.007463455
5,sae_recons,-10.0,-2.2947917,-0.13742965,-2.157362,-2.3185754,-0.13481757,-2.1837578,-0.023783684,0.0026120842,-0.026395798
6,sae_recons,-10.0,-2.674511,-0.099594064,-2.5749168,-2.700092,-0.09774766,-2.6023445,-0.025581121,0.0018464029,-0.027427673
7,sae_recons,-10.0,-0.88043433,-0.5750697,-0.3053646,-0.8869381,-0.5699806,-0.31695747,-0.006503761,0.005089104,-0.011592865
8,sae_recons,-10.0,-0.48760802,-0.99776846,0.51016045,-0.48510918,-1.001026,0.5159168,0.0024988353,-0.0032575727,0.005756378
9,sae_recons,-10.0,-0.82223046,-0.6200458,-0.20218468,-0.826872,-0.61602795,-0.21084404,-0.004641533,0.00401783,-0.008659363
10,sae_recons,-10.0,-0.76920485,-0.66309524,-0.10610962,-0.7735964,-0.6588274,-0.11476898,-0.004391551,0.004267812,-0.008659363
11,sae_recons,-10.0,-0.73705035,-0.6934293,-0.043621063,-0.7399631,-0.6902309,-0.04973221,-0.0029127598,0.0031983852,-0.006111145
12,sae_recons,-10.0,-1.9355003,-0.18819721,-1.747303,-1.9523244,-0.18527076,-1.7670536,-0.016824126,0.002926454,-0.019750595
13,sae_recons,-10.0,-0.7711107,-0.6637785,-0.10733223,-0.77631533,-0.6588131,-0.11750221,-0.005204618,0.004965365,-0.010169983
14,sae_recons,-10.0,-0.73460865,-0.69889736,-0.03571129,-0.7385878,-0.69463867,-0.043949127,-0.0039791465,0.0042586923,-0.008237839
15,sae_recons,-10.0,-2.2698362,-0.14093187,-2.1289043,-2.2906299,-0.13854752,-2.1520824,-0.020793676,0.0023843497,-0.0231781
0,sae_recons,-5.0,-1.5672863,-0.27245402,-1.2948322,-1.5720919,-0.27111804,-1.3009739,-0.004805684,0.0013359785,-0.0061416626
1,sae_recons,-5.0,-0.8046344,-0.6347926,-0.16984177,-0.80703753,-0.63257045,-0.17446709,-0.00240314,0.0022221804,-0.0046253204
2,sae_recons,-5.0,-0.6301875,-0.8032508,0.17306328,-0.6294536,-0.80365556,0.17420197,0.000733912,-0.00040477514,0.0011386871
3,sae_recons,-5.0,-0.7002847,-0.72708297,0.026798248,-0.70038694,-0.7267713,0.026384354,-0.000102221966,0.0003116727,-0.00041389465
4,sae_recons,-5.0,-0.7782896,-0.65340406,-0.12488556,-0.7800597,-0.6516856,-0.1283741,-0.0017700791,0.0017184615,-0.0034885406
5,sae_recons,-5.0,-2.2947917,-0.13742965,-2.157362,-2.3064404,-0.1361371,-2.1703033,-0.011648655,0.0012925565,-0.0129413605
